"","RouteIdentifier","survey_year","CollectorNumber","nstop","StateProvince","latitude","longitude","bcr"
"1","NB054",2017,1030073,10,"NB",45.635021,-65.799431,14
"2","NB002",2017,1068489,10,"NB",45.428169,-67.25354,14
"3","NB017",2017,1030056,10,"NB",47.50716,-66.730118,14
"4","NB041",2017,1030056,10,"NB",47.581829,-65.983437,14
"5","NB039",2017,1032147,10,"NB",47.392651,-66.396172,14
"6","NB073",2017,1030070,10,"NB",47.140171,-66.10675,14
"7","NB046",2017,1030405,10,"NB",47.003391,-65.729599,14
"8","NB094",2017,1030122,10,"NB",47.494469,-68.010223,14
"9","NB009",2017,1030122,10,"NB",47.131859,-67.702629,14
"10","NB096",2017,1030122,10,"NB",47.223049,-67.615608,14
"11","NB031",2017,1051830,10,"NB",45.433811,-66.235718,14
"12","NB083",2017,1030122,10,"NB",47.32552,-67.696198,14
"13","NB052",2017,1030370,10,"NB",45.643917,-65.220749,14
"14","NB030",2017,1051830,10,"NB",45.502789,-66.049187,14
"15","NB029",2017,1074875,10,"NB",44.795071,-66.784279,14
"16","NB038",2017,1030372,10,"NB",47.00177,-66.272743,14
"17","NB060",2017,1077609,10,"NB",46.246399,-64.928947,14
"18","NB053",2017,1030085,10,"NB",45.627781,-65.745689,14
"19","NB023",2017,1030368,10,"NB",46.197189,-66.927391,14
"20","NB080",2017,1051847,10,"NB",45.77499,-66.089348,14
"21","NB085",2016,1077263,10,"NB",47.677151,-65.395126,14
"22","NB113",2017,1051849,10,"NB",45.590519,-65.448608,14
"23","NB113",2016,1051849,10,"NB",45.590519,-65.448608,14
"24","NB061",2016,1030081,10,"NB",46.124191,-64.967979,14
"25","NB001",2017,1054918,10,"NB",45.449188,-67.441971,14
"26","NB003",2017,1074890,8,"NB",45.76347,-67.470863,14
"27","NB043",2017,1051811,10,"NB",47.945751,-66.409889,14
"28","NB102",2017,1051811,10,"NB",47.62822,-66.41906,14
"29","NB101",2017,1051811,10,"NB",47.566559,-66.788422,14
"30","NB110",2017,1051827,9,"NB",45.250099,-67.157402,14
"31","NB033",2017,1030374,10,"NB",45.94017,-66.153267,14
"32","NB028",2017,1051827,10,"NB",45.17017,-66.920609,14
"33","NB070",2017,1051844,10,"NB",46.170448,-64.42466,14
"34","NB036",2017,1051832,10,"NB",46.868752,-66.026222,14
"35","NB063",2017,1074880,9,"NB",46.535622,-64.734291,14
"36","NB062",2017,1030030,10,"NB",46.18676,-64.690002,14
"37","NB006",2017,1074874,10,"NB",46.258041,-67.262787,14
"38","NB079",2017,1051810,10,"NB",46.315281,-67.599113,14
"39","NB076",2017,1079011,10,"NB",46.018532,-65.710899,14
"40","NB081",2017,1079009,10,"NB",45.788891,-65.496498,14
"41","NB056",2017,1077272,10,"NB",45.268333,-65.73333,14
"42","NB084",2017,1074880,9,"NB",46.642231,-64.957657,14
"43","NB069",2017,1030041,10,"NB",45.99474,-64.298698,14
"44","NB045",2017,1051811,9,"NB",47.516628,-65.723572,14
"45","NB068",2017,1051843,10,"NB",45.764889,-64.489998,14
"46","NB009",2018,1030122,10,"NB",47.131859,-67.702629,14
"47","NB075",2018,1079011,10,"NB",46.36808,-65.497643,14
"48","NB008",2018,1074874,10,"NB",46.51086,-67.346329,14
"49","NB070",2018,1051844,10,"NB",46.170448,-64.42466,14
"50","NB054",2018,1030073,10,"NB",45.635021,-65.799431,14
"51","NB037",2018,1030372,10,"NB",46.82272,-66.113564,14
"52","NB073",2018,1030070,10,"NB",47.140171,-66.10675,14
"53","NB041",2018,1030056,10,"NB",47.581829,-65.983437,14
"54","NB069",2018,1030051,10,"NB",45.99474,-64.298698,14
"55","NB039",2018,1032147,10,"NB",47.392651,-66.396172,14
