"","RouteIdentifier","survey_year","CollectorNumber","nstop","StateProvince","latitude","longitude","bcr"
"1","PE012",2017,1030087,10,"PE",46.3811,-62.555599,14
"2","PE013",2017,1032146,10,"PE",46.285599,-62.567799,14
"3","PE014",2017,1046571,9,"PE",46.146801,-62.561001,14
"4","PE016",2017,1077300,10,"PE",46.190472,-63.29594,14
"5","PE018",2017,1046572,10,"PE",46.1884,-62.8311,14
"6","PE019",2017,1046565,10,"PE",46.011501,-62.854099,14
"7","PE020",2017,1046577,10,"PE",46.25713,-62.693008,14
"8","PE024",2017,1030101,10,"PE",46.210098,-62.843899,14
"9","PE006",2017,1074878,10,"PE",46.500481,-64.008797,14
"10","PE009",2017,1046566,10,"PE",46.393341,-62.306999,14
"11","PE010",2017,1079024,10,"PE",46.348499,-62.4613,14
"12","PE011",2017,1046568,10,"PE",46.332722,-62.420311,14
"13","PE005",2017,1079023,10,"PE",46.617298,-63.898701,14
"14","PE003",2017,1079025,10,"PE",46.607609,-64.016068,14
"15","PE017",2017,1079026,10,"PE",46.3951,-63.5056,14
"16","PE022",2017,1079027,10,"PE",46.038921,-62.668098,14
"17","PE023",2017,1079024,10,"PE",46.196281,-62.532532,14
"18","PE015",2017,1079022,9,"PE",46.090599,-62.8023,14
"19","PE021",2017,1079029,10,"PE",46.222401,-62.969399,14
"20","PE001",2018,1074598,10,"PE",47.003502,-64.001099,14
"21","PE002",2018,1077298,10,"PE",46.724079,-64.130417,14
"22","PE003",2018,1079025,10,"PE",46.607609,-64.016068,14
"23","PE004",2018,1079020,10,"PE",46.689499,-64.20108,14
"24","PE005",2018,1079023,10,"PE",46.617298,-63.898701,14
"25","PE006",2018,1074878,10,"PE",46.500481,-64.008797,14
"26","PE007",2018,1077320,10,"PE",46.411152,-63.8461,14
"27","PE008",2018,1030097,9,"PE",46.3909,-62.145302,14
"28","PE009",2018,1046566,10,"PE",46.393341,-62.306999,14
"29","PE010",2018,1077325,10,"PE",46.348499,-62.4613,14
"30","PE011",2018,1046568,10,"PE",46.332722,-62.420311,14
"31","PE012",2018,1046569,10,"PE",46.3811,-62.555599,14
"32","PE014",2018,1077277,10,"PE",46.146801,-62.561001,14
"33","PE015",2018,1079022,10,"PE",46.090599,-62.8023,14
"34","PE016",2018,1030101,10,"PE",46.190472,-63.29594,14
"35","PE017",2018,1079024,10,"PE",46.3951,-63.5056,14
"36","PE018",2018,1077323,10,"PE",46.1884,-62.8311,14
"37","PE019",2018,1077292,10,"PE",46.011501,-62.854099,14
"38","PE020",2018,1042335,10,"PE",46.25713,-62.693008,14
"39","PE022",2018,1079027,10,"PE",46.038921,-62.668098,14
"40","PE023",2018,1079026,10,"PE",46.196281,-62.532532,14
"41","PE024",2018,1030101,10,"PE",46.210098,-62.843899,14
"42","PE001",2016,1074878,7,"PE",47.003502,-64.001099,14
"43","PE001",2005,1077276,10,"PE",47.003502,-64.001099,14
"44","PE001",2006,1077276,10,"PE",47.003502,-64.001099,14
"45","PE001",2001,1077276,10,"PE",47.003502,-64.001099,14
"46","PE001",2002,1077276,10,"PE",47.003502,-64.001099,14
"47","PE001",2008,1077276,10,"PE",47.003502,-64.001099,14
"48","PE001",2010,1077276,10,"PE",47.003502,-64.001099,14
"49","PE001",2007,1077276,10,"PE",47.003502,-64.001099,14
"50","PE001",2009,1077276,10,"PE",47.003502,-64.001099,14
"51","PE001",2004,1077298,10,"PE",47.003502,-64.001099,14
"52","PE001",2013,1077298,10,"PE",47.003502,-64.001099,14
"53","PE001",2012,1077298,10,"PE",47.003502,-64.001099,14
"54","PE001",2014,1081650,10,"PE",47.003502,-64.001099,14
"55","PE002",2004,1074884,10,"PE",46.724079,-64.130417,14
"56","PE002",2005,1074884,10,"PE",46.724079,-64.130417,14
"57","PE002",2006,1077294,10,"PE",46.724079,-64.130417,14
"58","PE002",2015,1077298,10,"PE",46.724079,-64.130417,14
"59","PE002",2016,1077298,10,"PE",46.724079,-64.130417,14
"60","PE002",2013,1077298,10,"PE",46.724079,-64.130417,14
"61","PE002",2014,1077298,10,"PE",46.724079,-64.130417,14
"62","PE002",2010,1077298,10,"PE",46.724079,-64.130417,14
"63","PE002",2011,1077298,10,"PE",46.724079,-64.130417,14
"64","PE002",2012,1077298,10,"PE",46.724079,-64.130417,14
"65","PE002",2007,1077299,10,"PE",46.724079,-64.130417,14
"66","PE002",2008,1077317,10,"PE",46.724079,-64.130417,14
"67","PE002",2009,1077324,10,"PE",46.724079,-64.130417,14
"68","PE003",2013,1077005,10,"PE",46.607609,-64.016068,14
"69","PE003",2015,1077005,7,"PE",46.607609,-64.016068,14
"70","PE003",2014,1077005,10,"PE",46.607609,-64.016068,14
"71","PE003",2012,1077005,10,"PE",46.607609,-64.016068,14
"72","PE003",2007,1077278,10,"PE",46.607609,-64.016068,14
"73","PE003",2001,1077278,10,"PE",46.607609,-64.016068,14
"74","PE003",2006,1077278,10,"PE",46.607609,-64.016068,14
"75","PE003",2002,1077278,10,"PE",46.607609,-64.016068,14
"76","PE003",2010,1077298,10,"PE",46.607609,-64.016068,14
"77","PE003",2016,1079023,10,"PE",46.607609,-64.016068,14
"78","PE004",2001,1074832,10,"PE",46.689499,-64.20108,14
"79","PE004",2003,1074883,10,"PE",46.689499,-64.20108,14
"80","PE004",2002,1074883,10,"PE",46.689499,-64.20108,14
"81","PE004",2006,1077299,10,"PE",46.689499,-64.20108,14
"82","PE004",2007,1077315,10,"PE",46.689499,-64.20108,14
"83","PE004",2016,1077320,10,"PE",46.689499,-64.20108,14
"84","PE004",2014,1077320,10,"PE",46.689499,-64.20108,14
"85","PE004",2015,1077320,10,"PE",46.689499,-64.20108,14
